GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014001001,not DAC status,3.871340992026111,5.096660004320211,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014002001,not DAC status,2.3134201067206748,3.3429580703427226,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014002002,not DAC status,2.25566139572647,3.088233028512606,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014003001,not DAC status,2.201998216256402,3.0345698490425375,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014003002,not DAC status,1.9146288740205548,2.3460702457612856,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014003003,not DAC status,1.4308112722418524,2.749410471882085,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014003004,not DAC status,1.7625342516850901,2.7107403445635145,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014004001,not DAC status,1.9654218373591674,3.5410433563443635,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014004002,not DAC status,1.4328536209296692,3.017154497643607,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014004003,not DAC status,1.7620636284039435,3.4711345971460945,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014005001,not DAC status,1.50878692680402,3.457851288928788,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014005002,not DAC status,1.3805474408465215,3.127770188194945,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014005003,not DAC status,1.2995378824179549,3.4065281940113703,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014006001,not DAC status,1.1467165950753773,2.8939393424238005,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014006002,not DAC status,0.9072887343788598,2.742198048891462,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014007001,not DAC status,0.8442788238722158,3.412121049895016,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014007002,not DAC status,0.6358091828764273,3.2036514088992276,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014007003,not DAC status,0.5519092944816985,2.9236591176023143,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014007004,not DAC status,0.5481779511981163,2.9273904608858965,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014008001,not DAC status,1.4914572100543309,3.585178113006689,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014008002,not DAC status,1.2805710674315092,3.3649216470842256,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014008003,not DAC status,1.1083073858394694,3.192657965492186,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014009001,not DAC status,1.0525076640833066,3.2338361512934766,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014009002,not DAC status,0.7898960073953265,2.8742465870480434,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014010001,75-80%,0.8943985690125146,2.596558318359521,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014010002,75-80%,0.695698397732858,2.5940121253784514,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014010003,75-80%,0.5619919300711665,2.4603056577167592,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014010004,75-80%,0.7963774889307691,2.0461793746700625,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014010005,75-80%,0.8500758334043379,1.9713571817849693,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014010006,75-80%,0.5097144920657825,2.265621056252594,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014011001,not DAC status,1.3471633162930012,2.284008471055464,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014011002,not DAC status,1.0716036951310959,1.9604774042593602,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014011003,not DAC status,1.220434082255457,1.6367539874662838,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014011004,not DAC status,1.1904416320710338,2.1272867868334964,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014012001,not DAC status,1.6026982224942798,2.1712982997817485,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014012002,not DAC status,1.3383947399072151,1.9069948171946838,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014012003,not DAC status,1.4078820586031484,1.6164910575410512,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014013001,not DAC status,1.3338932909488708,1.52329477877287,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014013002,not DAC status,1.1780503796846775,1.5931786732400859,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014013003,not DAC status,0.9042477370705331,1.7025825658789204,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014014001,85-90%,0.8868969078093041,1.866732252016442,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014014002,85-90%,0.9767068520787866,1.715247848704138,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014014003,85-90%,1.2793708204375465,1.3274594825119073,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014015001,80-85%,0.6389906636274154,2.236712136562883,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014015002,80-85%,0.8137419074085099,2.222547075977244,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014015003,80-85%,0.9387419074085099,2.097547075977244,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014016001,75-80%,1.1128712606423408,1.923417722743413,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014016002,75-80%,1.4734710756226357,1.5628179077631184,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014017001,80-85%,1.1715614201638676,2.513593294924636,2,3,8,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014017002,80-85%,2.1328256134832015,2.717809290349882,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014017003,80-85%,3.1433314502696614,3.7356567691136515,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014018001,85-90%,2.0115569567667837,2.596540633633464,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014018002,85-90%,2.4197778584740077,3.004761535340688,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014022001,85-90%,1.9349903386352736,2.447780718531657,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014022002,85-90%,2.361536926054532,2.7605491668528486,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014022003,85-90%,2.3597502311402843,2.883061889075229,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
