Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
HY,University of California Irvine,19172 Jamboree Rd,,Irvine,CA,92612,,949-824-1999 x212,E,,Public - Credit card at all times,"24 hours daily; bus fueling from 10pm-2am, drivers should avoid station then",A D M V,,,,,,,,,,200-8,33.663511,-117.856388,2021-05-06,27339,2021-05-06 13:19:19 UTC,SG,,,2003-01-01,http://m.cafcp.org/content/uc-irvine,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Shell - Torrance,2051 W 190th St,,Torrance,CA,90504,,877-830-8999,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-8,33.858556,-118.31461,2021-05-06,30131,2021-05-06 13:19:19 UTC,P,,,2017-08-21,http://m.cafcp.org/content/torrance,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Los Angeles International Airport,10400 Aviation Blvd,,Los Angeles,CA,90045,,844-692-5423,E,,Public - Credit card at all times,24 hours daily,D M V,,,,,,,,,,200-9,33.941383,-118.377866,2021-05-06,33581,2021-05-06 13:19:19 UTC,P,,,2018-12-24,http://m.cafcp.org/content/lax,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,AIRPORT,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Messer - Emeryville,1172 45th St,,Emeryville,CA,94608,,866-384-4829,E,,Public - Credit card at all times,24 hours daily,D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,37.83426757947672,-122.2815811865082,2021-05-06,48407,2021-05-06 13:19:19 UTC,P,,,2018-11-19,http://m.cafcp.org/content/emeryville-upgrade,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,Air Liquide - Palo Alto,3601 El Camino Real,,Palo Alto,CA,94306,,844-692-5423,E,,Public - Credit card at all times,6am-10pm daily,D M V,,,,,,,,,,200-9,37.418914,-122.133104,2021-05-06,61950,2021-05-06 13:19:19 UTC,P,,,2018-12-24,http://m.cafcp.org/content/palo-alto,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Air Liquide - Anaheim,3731 E La Palma Ave,,Anaheim,CA,92806,,844-692-5423,E,,Public - Credit card at all times,24 hours daily,A M V,,,,,,,,,,200-9,33.855862,-117.837744,2021-05-06,61967,2021-05-06 13:19:19 UTC,P,,,2016-11-29,http://m.cafcp.org/content/anaheim,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,Air Products and Chemicals Inc - Los Angeles,7751 Beverly Blvd,,Los Angeles,CA,90036,,800-224-2724,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,34.076363,-118.358673,2021-05-06,61968,2021-05-06 13:19:19 UTC,P,,,2016-06-15,http://m.cafcp.org/content/fairfax-la,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,California State University Los Angeles - Hydrogen Research & Fueling Facility,5151 State University Dr,Circle Drive & Campus Road,Los Angeles,CA,90032,,323-343-4569,E,,Public - Card key at all times,8am-5pm M-F or by appointment; call 614-260-5223 to set up a fueling appointment; access is provided by the CSULA issued card and its PIN,Proprietor,,,,,,,,,,GPS,34.065956,-118.165565,2021-06-07,61970,2021-06-07 17:37:37 UTC,P,,,2014-06-04,http://m.cafcp.org/content/cal-state-la,,,,,US,,,,Public - Carte-clé en tout temps,true,public,KEY_ALWAYS,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Campbell,2855 Winchester Blvd,Winchester Blvd & W Sunnyoaks Ave,Campbell,CA,95008,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.271941,-121.954643,2021-06-07,61972,2021-06-07 17:37:37 UTC,P,,,2016-03-15,http://m.cafcp.org/content/campbell,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Coalinga,24505 W Dorris Ave,W Dorris Ave & Exit 334,Coalinga,CA,93210,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.25298,-120.239432,2021-06-07,61973,2021-06-07 17:37:37 UTC,P,,,2016-01-08,http://m.cafcp.org/content/harris-ranch,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
